Date,G40,G42,G43,G44,G45,G46,G47,G48,G49,G51,G53,G65
Nov-07,3.612,3.930344828,3.230333333,,2.621666667,2.153333333,1.925,1.724,3.299,4.555,3.664666667,4.391
Dec-07,4.152631579,4.191290323,3.399032258,,2.798709677,2.365483871,2.259354839,2.253870968,4.281935484,4.526129032,4.191612903,4.372580645
Jan-08,4.768461538,4.422903226,3.660333333,,3.565806452,3.012903226,2.339354839,2.545483871,4.288064516,4.435806452,4.30516129,4.31516129
Feb-08,5.4204,4.45137931,4.209655172,,3.280588235,3.053103448,2.649310345,2.701904762,4.566551724,4.464827586,4.532068966,4.312068966
Mar-08,3.776666667,4.408709677,3.486129032,,3.019615385,2.239677419,2.147419355,1.98,3.589032258,4.628387097,3.959032258,4.516129032
Apr-08,3.991,4.512,3.332666667,,2.934615385,2.26,2.286333333,2.137333333,3.714333333,4.913666667,4.02,4.67
May-08,5.656774194,5.006451613,6.109354839,2.717142857,3.668064516,2.651290323,2.750322581,2.590645161,4.245483871,5.587096774,4.527096774,5.215806452
Jun-08,5.670666667,4.429333333,5.931,2.792272727,3.034,2.564666667,2.580333333,2.534,4.316666667,5.898666667,5.051666667,5.772666667
Jul-08,5.030967742,4.321290323,6.07,3.002258065,2.576451613,2.243870968,2.209032258,2.096774194,3.421,5.025806452,3.787741935,4.644516129
Aug-08,4.775483871,4.006129032,6.03516129,2.757096774,2.347419355,2.137419355,1.887419355,1.887096774,3.121935484,4.301612903,3.372903226,3.997741935
Sep-08,3.877333333,3.676666667,4.746,2.443888889,1.518666667,1.702333333,1.692333333,1.564333333,2.720666667,3.996333333,3.062,3.893666667
Oct-08,3.659032258,4.622903226,3.700967742,2.116666667,2.676551724,2.33483871,2.22483871,2.110645161,3.683461538,4.636774194,3.732258065,4.468709677
Nov-08,3.811333333,4.705666667,3.808333333,1.72,3.059,2.43,2.333666667,2.216,3.724,4.854333333,4.049,4.630333333
Dec-08,3.668965517,4.531290323,3.770740741,,2.92483871,2.501612903,2.150322581,2.169,3.466774194,4.632580645,3.94,4.421612903
Jan-09,3.73,4.792258065,4.046774194,,3.320645161,3.10516129,2.698064516,2.620769231,4.143225806,4.553870968,4.306774194,4.3
Feb-09,3.634230769,4.598928571,3.866785714,,3.0725,2.622142857,2.430714286,2.763333333,3.788928571,4.626785714,4.091153846,4.366428571
Mar-09,3.524193548,4.343225806,3.536451613,,2.796774194,2.505806452,2.173870968,1.92,3.45,4.692258065,3.820322581,4.438387097
Apr-09,3.459,5.149,3.575333333,,3.391666667,2.634333333,2.447333333,2.235384615,3.738333333,4.660333333,3.903666667,4.395333333
May-09,3.673870968,4.022258065,4.690645161,2.52,2.240967742,2.199677419,2.207741935,1.984583333,3.35862069,4.627419355,3.626451613,4.241290323
Jun-09,3.952,4.803333333,5.107333333,2.834333333,2.844333333,2.436,2.424666667,2.127894737,3.643666667,5.071,4.009,4.597
Jul-09,4.063548387,4.191935484,5.982903226,2.660322581,2.471935484,2.265483871,2.09516129,1.835789474,3.298709677,4.335806452,3.603225806,4.085806452
Aug-09,4.258709677,3.79516129,6.160645161,3.024516129,2.133548387,2.04483871,1.71862069,1.567,3.002903226,3.843548387,3.183870968,3.874193548
Sep-09,3.483,4.279666667,4.382,2.561052632,2.464333333,2.249666667,1.936896552,1.688181818,3.187,3.764,3.211333333,3.953
Oct-09,3.650322581,4.972580645,3.509677419,1.524285714,3.139677419,2.590967742,2.349,2.408,3.71516129,3.98,3.747096774,4.150645161
