"","Var1","Var2","Cor","Lag","Months"
"824","HY","GIT",0.28310151751615,0.916666666666667,11
"825","HY","GOT",0.266804314386887,0.916666666666667,11
"826","HY","NPT",0.262037799954574,0.916666666666667,11
"827","HY","DCT",0.277940980259602,0.916666666666667,11
"828","HY","Pu",0.185989995067745,0.25,3
"829","GI","W60",0.204282513393813,-1.66666666666667,-20
"830","GI","W63",0.272991322613182,-1.08333333333333,-13
"831","GI","W67",0.272962475018902,-0.0833333333333333,-1
"832","GI","W70",0.308561937401421,-0.0833333333333333,-1
"833","GI","W73",0.341473495301397,-0.0833333333333333,-1
"834","GI","W74",0.208597113204484,0,0
"835","GI","W78",0.320133094199058,-0.0833333333333333,-1
"836","GI","W80",0.204316160118452,0,0
"837","GI","W81",0.250830831857864,-0.0833333333333333,-1
"838","GI","W115",0.306539773663859,-0.0833333333333333,-1
"839","GI","W116",0.324681560578045,-0.0833333333333333,-1
"840","GI","W118",0.242474487783495,-0.25,-3
"841","GI","G40",0.203449136954316,0,0
"842","GI","G42",0.215175837357205,0,0
"843","GI","G45",0.230599551467683,0,0
"844","GI","G49",0.212546392241926,0,0
"845","GI","G51",0.347572294653218,0,0
"846","GI","G53",0.210594001519879,1.33333333333333,16
"847","GI","G65",0.448682318551487,0,0
"848","GI","RV",0.738401594557217,0,0
"849","GI","CDY",0.634822923718133,0,0
"850","GI","KY",0.74215294551389,0,0
"851","GI","HY",0.491711795542851,0,0
"852","GI","GS",0.594601799770297,0,0
"853","GI","GO",0.58053064560375,0,0
"854","GI","NP",0.466762055599718,0,0
"855","GI","DC",0.554565914227819,0,0
"856","GI","RVT",0.237376674156724,0.916666666666667,11
"857","GI","CDYT",0.2442487820811,0.916666666666667,11
"858","GI","KYT",0.242474867609628,0.916666666666667,11
"859","GI","HYT",0.242118236905986,0.916666666666667,11
"860","GI","GIT",0.240575014972354,0.916666666666667,11
"861","GI","GOT",0.252362455316709,-0.0833333333333333,-1
"862","GI","NPT",0.227502848235616,0.916666666666667,11
"863","GI","DCT",0.231312833769391,0.916666666666667,11
"864","GI","Pu",0.19090631887862,-1.16666666666667,-14
"865","GS","W60",0.248650217426765,-1.66666666666667,-20
"866","GS","W63",0.240158846905819,-0.0833333333333333,-1
